iter	Logloss
0	0.6895525027
1	0.6851999539
2	0.6813577144
3	0.6768046429
4	0.6726351306
5	0.668966991
6	0.6659256137
7	0.6617174509
8	0.6579032867
9	0.6539642898
10	0.6499727374
11	0.645794502
12	0.6416733161
13	0.6383121093
14	0.635060929
15	0.6316047365
16	0.6289462302
17	0.6258703306
18	0.6227176601
19	0.6189152401
20	0.6156642471
21	0.613123726
22	0.6097298413
23	0.6060360007
24	0.603971675
25	0.6016806319
26	0.5990122527
27	0.596496648
28	0.5939487124
29	0.59111232
30	0.5887294393
31	0.5860342449
32	0.5841429554
33	0.5813384598
34	0.5788459573
35	0.576681978
36	0.5743190492
37	0.5715338784
38	0.5689266092
39	0.5668851905
40	0.5651534717
41	0.5624698594
42	0.5608687661
43	0.5587244878
44	0.5567734698
45	0.5543126881
46	0.5518469114
47	0.54927744
48	0.547522314
49	0.5456092583
50	0.5439661945
51	0.5416601165
52	0.5397796571
53	0.5378819372
54	0.5361908252
55	0.5341726597
56	0.5321128097
57	0.5304959689
58	0.5283347407
59	0.5262696114
60	0.5245253373
61	0.5227918973
62	0.5217832737
63	0.5205596081
64	0.519426656
65	0.5176245181
66	0.5168215456
67	0.5152594114
68	0.5137819462
69	0.5126181743
70	0.5114199154
71	0.5097163035
72	0.5088957371
73	0.5073948056
74	0.5057591969
75	0.5047700313
76	0.5037691975
77	0.5028454757
78	0.5015496317
79	0.5001282134
80	0.4994180248
81	0.4980717711
82	0.4969767743
83	0.4957549861
84	0.4946656228
85	0.4940988104
86	0.4930176238
87	0.4919257809
88	0.4910087968
89	0.489647818
90	0.489001737
91	0.4877172759
92	0.4870512889
93	0.4860638767
94	0.4847540609
95	0.483664232
96	0.4829592291
97	0.4817620003
98	0.4805545797
99	0.4796010856
100	0.4790465952
101	0.478095829
102	0.4770672041
103	0.4762715372
104	0.4753414199
105	0.4746534914
106	0.4736668574
107	0.4726863755
108	0.4718839161
109	0.4714525558
110	0.4709754621
111	0.4702445466
112	0.4695223182
113	0.4687255415
114	0.4678029092
115	0.4673916039
116	0.4666547273
117	0.4658124698
118	0.4648178948
119	0.4642041219
120	0.4634147774
121	0.4630262191
122	0.4625534959
123	0.4617279241
124	0.4613311966
125	0.4608742064
126	0.4602972498
127	0.4598042118
128	0.4593043369
129	0.4589215832
130	0.4584276352
131	0.4575508152
132	0.4573025943
133	0.4565964198
134	0.4560606262
135	0.4555668835
136	0.4550716923
137	0.4539593725
138	0.4533528742
139	0.452755236
140	0.4525106694
141	0.4519464073
142	0.4511589809
143	0.4508219588
144	0.4500527221
145	0.4494626268
146	0.448824343
147	0.4480530267
148	0.4473361694
149	0.4470654091
150	0.4462616079
151	0.4457533506
152	0.4450590438
153	0.444695204
154	0.4444011615
155	0.4440135892
156	0.4435484198
157	0.4429383634
158	0.4420822237
159	0.4415014994
160	0.440981578
161	0.4405851321
162	0.4403000678
163	0.4398152526
164	0.4390621272
165	0.4386281277
166	0.4382330696
167	0.4378589286
168	0.4376423463
169	0.4371183269
170	0.4368917035
171	0.4367258284
172	0.4364048243
173	0.4361116984
174	0.4356541571
175	0.4351579378
176	0.4348056837
177	0.4344539556
178	0.4341039635
179	0.4339517302
180	0.4333247824
181	0.4330628863
182	0.4328030101
183	0.4325586757
184	0.4324612392
185	0.4321288096
186	0.4320336316
187	0.4313456719
188	0.4309622532
189	0.4308037623
190	0.4305679097
191	0.4302650275
192	0.4300877567
193	0.4297512421
194	0.4293898926
195	0.4288870942
196	0.4286495653
197	0.4282765893
198	0.4277579299
199	0.4276224583
200	0.427410426
201	0.4270854398
202	0.4267678624
203	0.4262916905
204	0.4259674323
205	0.4257111135
206	0.425350625
207	0.4250198777
208	0.4247186333
209	0.4242299197
210	0.4239840629
211	0.4236692459
212	0.4233917392
213	0.4233192667
214	0.4228984587
215	0.4226539695
216	0.4222845166
217	0.4219847308
218	0.4217309332
219	0.4215031371
220	0.4209382512
221	0.4208923248
222	0.4204020484
223	0.4202432784
224	0.4199777595
225	0.4198339436
226	0.4196378371
227	0.4195981113
228	0.4193416109
229	0.4189978776
230	0.4186538876
231	0.4182301391
232	0.4181569214
233	0.4178784172
234	0.4176485268
235	0.4174120391
236	0.4172358102
237	0.4169236708
238	0.416718885
239	0.4163359975
240	0.4159979223
241	0.4158553277
242	0.4156274395
243	0.4153577302
244	0.4150696848
245	0.4148542868
246	0.4147183699
247	0.414287253
248	0.4141741621
249	0.4140939872
250	0.4138429637
251	0.4136815739
252	0.4134669057
253	0.4131719765
254	0.4129760172
255	0.4128629472
256	0.4126416532
257	0.4123931555
258	0.4123223088
259	0.4122800402
260	0.412065854
261	0.4115843309
262	0.4114600828
263	0.4114296174
264	0.4112047709
265	0.411113554
266	0.4107539564
267	0.4105487267
268	0.4102434661
269	0.4100362385
270	0.409907257
271	0.4096200329
272	0.409473673
273	0.4091311264
274	0.4088866711
275	0.408718843
276	0.4085995641
277	0.4084379804
278	0.4082466184
279	0.4081626271
280	0.408128441
281	0.4077875003
282	0.4074635453
283	0.4072644903
284	0.4070087102
285	0.4067708451
286	0.4066328865
287	0.4065487158
288	0.4061554609
289	0.4059635096
290	0.4057886457
291	0.40564369
292	0.4054873579
293	0.4053671399
294	0.4052131194
295	0.4051678182
296	0.4049246558
297	0.4048022912
298	0.4046578747
299	0.4043981107
300	0.4042941133
301	0.4040784115
302	0.4039237422
303	0.4037381391
304	0.4036622807
305	0.4036410053
306	0.4035504974
307	0.4034380772
308	0.4032078008
309	0.4030350622
310	0.4027762548
311	0.4024250782
312	0.4023175269
313	0.4022675691
314	0.4019724919
315	0.4019309691
316	0.4015931319
317	0.4014962798
318	0.401285055
319	0.4011158677
320	0.4010244209
321	0.4009662119
322	0.400825736
323	0.4007660868
324	0.4005863592
325	0.4004172995
326	0.4003074809
327	0.4002995247
328	0.4001394127
329	0.4000813892
330	0.4000387459
331	0.3999602222
332	0.3997747373
333	0.3996100726
334	0.3994912104
335	0.3993505322
336	0.3990581344
337	0.398936311
338	0.3988574612
339	0.3985998972
340	0.3984430036
341	0.3982742708
342	0.3981782107
343	0.3979560196
344	0.3979331098
345	0.3978848802
346	0.3976823984
347	0.3976005622
348	0.3973759504
349	0.3971845154
350	0.3969904493
351	0.3969221947
352	0.3967950407
353	0.3967423791
354	0.3966207912
355	0.3965061199
356	0.3964503478
357	0.3964106159
358	0.3962398928
359	0.3961649743
360	0.3960206239
361	0.3959096115
362	0.3957312823
363	0.3955826964
364	0.3955626357
365	0.3954175778
366	0.3951773581
367	0.3950765549
368	0.3947927026
369	0.3946311784
370	0.3944510278
371	0.3944162077
372	0.3942991669
373	0.3942671045
374	0.394256725
375	0.3939959807
376	0.3938607863
377	0.3938029555
378	0.3937409876
379	0.3936473457
380	0.3935118111
381	0.3933678619
382	0.3931478382
383	0.393066976
384	0.3929864895
385	0.392904052
386	0.3928923761
387	0.3927775558
388	0.3927362938
389	0.3925480673
390	0.3924783682
391	0.3922580137
392	0.3921770932
393	0.3921078346
394	0.3919705511
395	0.3918125917
396	0.3917518941
397	0.3916284594
398	0.3914741391
399	0.3914413825
400	0.39139975
401	0.3913336339
402	0.3912315006
403	0.3910637431
404	0.3909287103
405	0.3909015365
406	0.3908603002
407	0.3906581149
408	0.390525891
409	0.3904111963
410	0.3903244579
411	0.3901364059
412	0.3900313351
413	0.3899624855
414	0.3898790516
415	0.3898417657
416	0.3897433112
417	0.3894625806
418	0.389403771
419	0.3892310896
420	0.3891577529
421	0.3890904433
422	0.3890036309
423	0.3889011971
424	0.3888117366
425	0.3886182029
426	0.3885143324
427	0.3884118047
428	0.3882445747
429	0.3880782887
430	0.3879526442
431	0.3877939536
432	0.387747923
433	0.3875695609
434	0.3875394938
435	0.3875332194
436	0.3874061809
437	0.3872784845
438	0.3872286701
439	0.3871793225
440	0.3871523518
441	0.3870368996
442	0.386900037
443	0.386684712
444	0.386628748
445	0.3865579862
446	0.3865295647
447	0.3864878945
448	0.3864373619
449	0.3861561891
450	0.3859940628
451	0.3859837549
452	0.3857017003
453	0.3856010588
454	0.3855285436
455	0.3854826124
456	0.3854556993
457	0.3853889533
458	0.3853413533
459	0.3852245869
460	0.3851212551
461	0.3850967821
462	0.385023544
463	0.3849518535
464	0.384825981
465	0.3847192234
466	0.3846493779
467	0.3844595335
468	0.3843870644
469	0.3843695804
470	0.3842830511
471	0.3842175914
472	0.3840767008
473	0.3839839608
474	0.3839271072
475	0.3837993905
476	0.3837064608
477	0.3836401001
478	0.3835800583
479	0.3835151134
480	0.3834739847
481	0.3833828376
482	0.3833331481
483	0.3831858633
484	0.3830369758
485	0.3830001807
486	0.3829027698
487	0.3827423694
488	0.3826728092
489	0.3824789489
490	0.3823635716
491	0.382346213
492	0.3822262142
493	0.3821636326
494	0.3821084907
495	0.38185934
496	0.3818430599
497	0.3817442043
498	0.3817400628
499	0.3816668439
500	0.3816031094
501	0.3815148632
502	0.3815141922
503	0.3814732592
504	0.3814640667
505	0.3813714323
506	0.3812665149
507	0.3811066544
508	0.3810838526
509	0.3808771629
510	0.3808114633
511	0.3807926786
512	0.3807500995
513	0.3806322959
514	0.380461562
515	0.3803822991
516	0.3802513981
517	0.3801378445
518	0.3800866192
519	0.380037221
520	0.3799391652
521	0.379898142
522	0.3798597654
523	0.3798495784
524	0.3797751568
525	0.3796787547
526	0.3794800534
527	0.3793375666
528	0.3793306043
529	0.3792642567
530	0.3791435315
531	0.379047331
532	0.3789729098
533	0.378920219
534	0.3788806901
535	0.3787743152
536	0.3786121924
537	0.3785479377
538	0.3784965822
539	0.3783648626
540	0.3782190174
541	0.3780399901
542	0.3780385391
543	0.3778910357
544	0.3778114183
545	0.3778086435
546	0.3777019407
547	0.3776086052
548	0.3775713515
549	0.377536301
550	0.377348633
551	0.3772746718
552	0.3772684846
553	0.3772333743
554	0.3772240665
555	0.3771763606
556	0.3771547211
557	0.3770949963
558	0.3770613995
559	0.377059024
560	0.3769856055
561	0.3769094087
562	0.376813521
563	0.376767372
564	0.3766965567
565	0.3766657004
566	0.3766133699
567	0.3765817687
568	0.3764905911
569	0.3764138182
570	0.3764043479
571	0.3763155073
572	0.3761140723
573	0.3760590611
574	0.375978115
575	0.375863077
576	0.3758010603
577	0.3756213743
578	0.3755401351
579	0.3754052192
580	0.3753794328
581	0.3753194908
582	0.3752461288
583	0.3751688476
584	0.3750873435
585	0.3750458804
586	0.3749577862
587	0.3749225574
588	0.3748896175
589	0.3747871841
590	0.374713697
591	0.3746967699
592	0.374631748
593	0.3745617803
594	0.3745030736
595	0.3744347664
596	0.3742788139
597	0.3742078114
598	0.374156757
599	0.3740308648
600	0.3738952707
601	0.3738931026
602	0.373876019
603	0.3738368043
604	0.3737862793
605	0.3737102721
606	0.3736817481
607	0.3736710556
608	0.3735746956
609	0.3735371254
610	0.3734523074
611	0.3733428161
612	0.3733257269
613	0.3731833733
614	0.3731217442
615	0.373077951
616	0.373050743
617	0.372944288
618	0.372896014
619	0.3728773759
620	0.3727348878
621	0.3725959459
622	0.3725076464
623	0.3724051615
624	0.3723294131
625	0.3722319488
626	0.3722274284
627	0.372119154
628	0.3720688789
629	0.3720178947
630	0.3718677927
631	0.3718055275
632	0.3717048295
633	0.3715666867
634	0.3715321189
635	0.3714255664
636	0.3713966643
637	0.3713315361
638	0.3713063233
639	0.3712806979
640	0.3711207999
641	0.3711007103
642	0.3710462676
643	0.3709415839
644	0.3709320831
645	0.3708920936
646	0.3708070208
647	0.3707474742
648	0.3707165309
649	0.3707008733
650	0.3706425293
651	0.3705738491
652	0.370536823
653	0.3703636402
654	0.3703332304
655	0.3702834343
656	0.370204073
657	0.3701723158
658	0.3700525797
659	0.3699826305
660	0.3698593986
661	0.369815867
662	0.3698099722
663	0.3697681203
664	0.369697907
665	0.3696842714
666	0.3696214098
667	0.3695625995
668	0.3694906023
669	0.3694213966
670	0.3692284476
671	0.3691934031
672	0.3691622749
673	0.3690931383
674	0.3690706029
675	0.3689975779
676	0.3689568411
677	0.3689478763
678	0.3688583593
679	0.3687801526
680	0.3686448907
681	0.368623899
682	0.3685927468
683	0.368530182
684	0.3685052889
685	0.368403316
686	0.3683128859
687	0.3682920168
688	0.368155376
689	0.3680733871
690	0.368068881
691	0.3679977685
692	0.3679568355
693	0.3677970367
694	0.3677234969
695	0.3675763977
696	0.3675369894
697	0.3675243794
698	0.3674347512
699	0.3673763094
700	0.3673477539
701	0.3672712955
702	0.3672235727
703	0.3671535989
704	0.3670306686
705	0.3670116463
706	0.3670104517
707	0.3669674469
708	0.3669315031
709	0.3668052473
710	0.3667286055
711	0.3666224441
712	0.3665900446
713	0.3664963811
714	0.3663681173
715	0.3662759908
716	0.3661591629
717	0.3661040274
718	0.3660058488
719	0.3657763514
720	0.3657154248
721	0.3657137681
722	0.3655470866
723	0.3655290353
724	0.3654297734
725	0.3652766202
726	0.365126625
727	0.3650863788
728	0.365028536
729	0.3649761582
730	0.3649304631
731	0.3647194957
732	0.3646109207
733	0.3645487069
734	0.3644670721
735	0.3644004622
736	0.3643226104
737	0.3642126546
738	0.3641127194
739	0.3640946666
740	0.3640913797
741	0.3640380045
742	0.3639862459
743	0.3639740545
744	0.3638411512
745	0.3637852581
746	0.3637809988
747	0.3637568709
748	0.3636850726
749	0.3636595842
750	0.3636081798
751	0.3634489685
752	0.3633744544
753	0.3632543607
754	0.3631445729
755	0.3630908009
756	0.3629762185
757	0.3629610931
758	0.3628010209
759	0.3626803278
760	0.3626331752
761	0.3626073158
762	0.3625304349
763	0.3623270519
764	0.3622918788
765	0.3622158267
766	0.3621006407
767	0.3619542753
768	0.3618358577
769	0.3617514865
770	0.3616717918
771	0.361648096
772	0.3615899028
773	0.3615516194
774	0.3614860991
775	0.361383828
776	0.3613179605
777	0.3612870415
778	0.3611954107
779	0.3611127128
780	0.3609830295
781	0.3609316346
782	0.3609207913
783	0.3608771577
784	0.360875753
785	0.3607506555
786	0.3607284762
787	0.360723497
788	0.360644115
789	0.3605770086
790	0.3605517464
791	0.3604203539
792	0.3603756024
793	0.3603008333
794	0.3602291491
795	0.3601819684
796	0.3601497595
797	0.3601489955
798	0.3601181929
799	0.3600597379
800	0.3599960041
801	0.3599219082
802	0.3599020811
803	0.3598100291
804	0.3597414093
805	0.359603226
806	0.35958861
807	0.3595711751
808	0.359505317
809	0.3594936016
810	0.359433682
811	0.3593966814
812	0.3593585572
813	0.3592520128
814	0.3592350887
815	0.3592242763
816	0.3591880917
817	0.359071205
818	0.3589584641
819	0.3588486357
820	0.3588215885
821	0.3587642823
822	0.3586938668
823	0.35864787
824	0.3586133257
825	0.3585677855
826	0.3585165051
827	0.3584281201
828	0.3584216038
829	0.3583940399
830	0.3582946968
831	0.3582509658
832	0.3582341389
833	0.3581020022
834	0.3580378547
835	0.3580011368
836	0.3579452952
837	0.3578950371
838	0.3578645967
839	0.3578596499
840	0.3578116577
841	0.357783868
842	0.3577416536
843	0.3575962247
844	0.3575567628
845	0.3574245264
846	0.3573591564
847	0.3573077848
848	0.357225555
849	0.3571268247
850	0.3571146046
851	0.3570836597
852	0.3570823339
853	0.3570616184
854	0.3568833772
855	0.3568094995
856	0.3567000605
857	0.3566162661
858	0.3565403235
859	0.3564913263
860	0.3564664886
861	0.35642323
862	0.3564216448
863	0.3563118944
864	0.3562786093
865	0.3562444175
866	0.3561472299
867	0.3560560901
868	0.3560393338
869	0.3560153843
870	0.3560026336
871	0.3558505818
872	0.3557750465
873	0.3557390429
874	0.3556388965
875	0.3554995233
876	0.3553937045
877	0.3553898499
878	0.3553320971
879	0.355330949
880	0.3553209122
881	0.3552198496
882	0.3551541578
883	0.355084812
884	0.3550135639
885	0.3549639443
886	0.3549166852
887	0.3548804236
