iter	Passed	Remaining
0	3	3687
1	5	2947
2	8	2705
3	10	2595
4	12	2501
5	13	2277
6	15	2128
7	17	2129
8	19	2143
9	21	2127
10	23	2103
11	25	2079
12	27	2103
13	30	2139
14	33	2227
15	35	2205
16	37	2148
17	39	2132
18	40	2093
19	42	2069
20	44	2052
21	45	2032
22	47	2023
23	50	2066
24	52	2031
25	53	2014
26	55	1999
27	56	1976
28	58	1972
29	60	1959
30	62	1948
31	64	1951
32	65	1933
33	68	1938
34	69	1928
35	71	1919
36	73	1910
37	75	1905
38	77	1908
39	78	1893
40	80	1878
41	82	1870
42	83	1862
43	85	1859
44	87	1856
45	89	1850
46	90	1843
47	92	1837
48	93	1821
49	95	1819
50	97	1819
51	100	1831
52	102	1830
53	103	1819
54	106	1822
55	107	1817
56	110	1819
57	111	1812
58	114	1825
59	116	1821
60	118	1817
61	119	1813
62	121	1807
63	123	1804
64	125	1800
65	126	1796
66	128	1788
67	130	1788
68	132	1790
69	135	1795
70	136	1789
71	138	1784
72	139	1772
73	141	1765
74	143	1768
75	145	1773
76	148	1777
77	150	1776
78	153	1793
79	156	1799
80	159	1811
81	162	1814
82	163	1807
83	165	1801
84	167	1798
85	168	1785
86	169	1778
87	171	1772
88	172	1766
89	174	1762
90	176	1760
91	178	1762
92	179	1754
93	181	1750
94	183	1743
95	184	1737
96	185	1731
97	187	1724
98	189	1720
99	191	1724
100	193	1720
101	195	1718
102	196	1713
103	198	1707
104	199	1702
105	200	1695
106	202	1689
107	203	1683
108	205	1677
109	207	1675
110	208	1669
111	210	1667
112	211	1663
113	213	1658
114	214	1653
115	215	1645
116	217	1640
117	219	1637
118	220	1632
119	222	1629
120	224	1631
121	226	1631
122	229	1632
123	231	1633
124	233	1634
125	236	1640
126	239	1646
127	241	1642
128	242	1637
129	244	1633
130	245	1629
131	247	1628
132	248	1620
133	250	1616
134	251	1609
135	253	1607
136	255	1610
137	257	1611
138	260	1612
139	261	1608
140	262	1601
141	264	1597
142	266	1594
143	267	1589
144	269	1592
145	271	1590
146	273	1586
147	275	1583
148	276	1579
149	277	1573
150	279	1569
151	280	1565
152	282	1562
153	283	1558
154	285	1557
155	286	1552
156	289	1553
157	291	1552
158	293	1553
159	296	1554
160	298	1554
161	300	1556
162	304	1562
163	306	1563
164	309	1563
165	311	1563
166	313	1565
167	316	1567
168	318	1568
169	321	1570
170	323	1569
171	325	1569
172	329	1574
173	332	1576
174	334	1577
175	336	1573
176	338	1572
177	340	1573
178	342	1573
179	344	1571
180	347	1572
181	350	1573
182	352	1573
183	354	1572
184	355	1566
185	356	1562
